Country,Country Total cases ,Country Total Deaths ,Country Total Recovered 
 Croatia ,"15,136 ",255,"12,987"
 Greece ,"15,595 ",344,"9,989"
 Albania ,"12,535 ",364,"6,995"
 Madagascar ,"16,073 ",225,"14,682"
 Côte d'Ivoire ,"19,327 ",120,"18,630"
 Republic of North Macedonia ,"16,780 ",700,"13,949"
 Hungary ,"19,499 ",694,"4,559"
 Bosnia and Herzegovina ,"25,521 ",770,"18,109"
 Libya ,"28,796 ",450,"15,384"
 Serbia ,"32,938 ",743,"31,536"
 Ireland ,"33,121 ","1,792","23,364"
 Kenya ,"37,079 ",650,"23,949"
 El Salvador ,"27,798 ",814,"21,795"
 Paraguay ,"34,260 ",676,"18,629"
 State of Palestine ,"36,151 ",265,"24,428"
 Afghanistan ,"39,096 ","1,445","32,576"
 Azerbaijan ,"39,280 ",576,"36,836"
 Ghana ,"46,062 ",297,"45,258"
 Moldova ,"46,796 ","1,211","35,018"
 Algeria ,"50,023 ","1,679","35,180"
 Armenia ,"47,667 ",938,"42,676"
 Switzerland ,"50,378 ","2,050","41,800"
 Czechia ,"50,764 ",522,"25,425"
 Singapore ,"57,627 ",27,"57,241"
 Uzbekistan ,"52,491 ",440,"48,606"
 Costa Rica ,"65,602 ",745,"25,127"
 Bahrain ,"65,752 ",225,"58,626"
 Nepal ,"65,276 ",427,"47,238"
 Nigeria ,"57,437 ","1,100","48,674"
 Venezuela ,"67,443 ",555,"56,726"
 Ethiopia ,"69,709 ","1,108","28,634"
 Honduras ,"72,075 ","2,204","22,611"
 Sweden ,"88,237 ","5,865",N/A
 Poland ,"80,699 ","2,316","64,972"
 Japan ,"79,140 ","1,500","71,404"
 Portugal ,"69,200 ","1,920","45,736"
 Guatemala ,"85,681 ","3,124","75,172"
 Belarus ,"75,898 ",785,"73,301"
 Oman ,"94,051 ",853,"85,781"
 Kuwait ,"99,964 ",585,"90,930"
 Morocco ,"103,119 ","1,855","84,158"
 United Arab Emirates ,"85,595 ",405,"75,086"
 Netherlands ,"95,995 ","6,281",N/A
 Belgium ,"103,392 ","9,950","18,977"
 Egypt ,"102,141 ","5,787","90,332"
 Kazakhstan ,"107,374 ","1,671","102,064"
 Dominican Republic ,"108,783 ","2,054","82,274"
 Romania ,"114,648 ","4,503","92,169"
 Qatar ,"123,604 ",211,"120,540"
 Panama ,"106,810 ","2,272","82,320"
 Philippines ,"291,789 ","5,049","230,643"
 Canada ,"145,415 ","9,228","125,534"
 Ukraine ,"181,237 ","3,642","79,901"
 Bolivia ,"130,986 ","7,654","90,240"
 Israel ,"193,374 ","1,285","140,751"
 Ecuador ,"126,711 ","11,095","102,852"
 Germany ,"275,581 ","9,482","246,300"
 Indonesia ,"252,923 ","9,837","184,298"
 Italy ,"299,506 ","35,724","218,703"
 Turkey ,"304,610 ","7,574","268,435"
 Iraq ,"322,856 ","8,625","258,075"
 Pakistan ,"306,886 ","6,424","293,159"
